Date,actual_price,predicted_price
2024-09-27,428.0199890136719,431.7100666869883
2024-09-30,430.2999877929688,428.77963371234364
2024-10-01,420.6900024414063,431.0260792168629
2024-10-02,417.1300048828125,421.68473079185793
2024-10-03,416.5400085449219,418.61586066197196
2024-10-04,416.05999755859375,417.485994303559
2024-10-07,409.5400085449219,416.7751046472549
2024-10-08,414.7099914550781,410.76614729340145
2024-10-09,417.4599914550781,415.23017055154924
2024-10-10,415.8399963378906,417.63247732286254
2024-10-11,416.3200073242188,416.1909660308447
2024-10-14,419.1400146484375,417.0219132737621
2024-10-15,418.739990234375,419.78291923624056
2024-10-16,416.1199951171875,419.3406498792756
2024-10-17,416.7200012207031,416.45086292832275
2024-10-18,418.1600036621094,417.6527346066141
2024-10-21,418.7799987792969,418.7723931843029
2024-10-22,427.510009765625,418.80156528466614
2024-10-23,424.6000061035156,428.26798491182853
2024-10-24,424.7300109863281,424.70594594630893
2024-10-25,428.1499938964844,425.07688919368593
2024-10-28,426.5899963378906,428.69570776638284
2024-10-29,431.9500122070313,426.97343165545317
2024-10-30,432.5299987792969,432.2720460148267
2024-10-31,406.3500061035156,433.51157684168356
2024-11-01,410.3699951171875,407.26582589332975
2024-11-04,408.4599914550781,409.7402490440436
2024-11-05,411.4599914550781,407.8790688600475
2024-11-06,420.1799926757813,410.33907968345557
2024-11-07,425.4299926757813,419.41385089421607
2024-11-08,422.5400085449219,424.99036790233737
2024-11-11,418.010009765625,422.9870988268667
2024-11-12,423.0299987792969,419.21416805815534
2024-11-13,425.2000122070313,422.94225213553
2024-11-14,426.8900146484375,424.86042934873336
2024-11-15,415.0,427.1291432593862
2024-11-18,415.760009765625,415.8525484800339
2024-11-19,417.7900085449219,416.2947886592592
2024-11-20,415.489990234375,417.43682028703734
2024-11-21,412.8699951171875,415.6758277944755
2024-11-22,417.0,414.17953681469953
2024-11-25,418.7900085449219,417.61720275878906
2024-11-26,427.989990234375,419.1712755316803
2024-11-27,422.989990234375,427.6710873324919
2024-11-29,423.4599914550781,422.9787203952292
2024-12-02,430.9800109863281,423.5024454418199
2024-12-03,431.2000122070313,430.60336751216164
2024-12-04,437.4200134277344,430.705977521262
2024-12-05,442.6199951171875,437.54870612539526
2024-12-06,443.5700073242188,442.0567877497815
2024-12-09,446.0199890136719,443.07338029041426
2024-12-10,443.3299865722656,445.6069134122554
2024-12-11,448.989990234375,443.0525026208761
2024-12-12,449.55999755859375,448.6518002446537
2024-12-13,447.2699890136719,449.27397850668785
2024-12-16,451.5899963378906,447.2192029160815
2024-12-17,454.4599914550781,451.6965332749787
2024-12-18,437.3900146484375,454.1307918860821
2024-12-19,437.0299987792969,438.52835593221243
2024-12-20,436.6000061035156,438.3943421373406
2024-12-23,435.25,437.3962176911082
2024-12-24,439.3299865722656,435.11084216833115
2024-12-26,438.1099853515625,439.078966543002
2024-12-27,430.5299987792969,438.7079819836945
2024-12-30,424.8299865722656,431.7215176167083
2024-12-31,421.5,425.8037632682099
2025-01-02,418.5799865722656,422.55915051698685
2025-01-03,423.3500061035156,419.9923171925475
2025-01-06,427.8500061035156,423.7270469541072
2025-01-07,422.3699951171875,428.3760072127516
2025-01-08,424.55999755859375,423.5299682554614
2025-01-10,418.9500122070313,425.6234463058354
2025-01-13,417.1900024414063,420.3721315381045
2025-01-14,415.6700134277344,417.8819863431418
2025-01-15,426.30999755859375,416.63602434537097
2025-01-16,424.5799865722656,426.16950535914293
2025-01-17,429.0299987792969,424.7928179315968
2025-01-21,428.5,430.552003828725
2025-01-22,446.2000122070313,429.30876833200455
2025-01-23,446.7099914550781,445.8566630984788
2025-01-24,444.05999755859375,445.7459708481656
2025-01-27,434.55999755859375,443.69886764248076
2025-01-28,447.2000122070313,433.88582565686374
2025-01-29,442.3299865722656,444.00546670776754
2025-01-30,414.989990234375,441.79525322987683
2025-01-31,415.05999755859375,415.6474553311127
2025-02-03,410.9200134277344,415.63603216309275
2025-02-04,412.3699951171875,410.76997089372526
2025-02-05,413.2900085449219,412.0283938531793
2025-02-06,415.8200073242188,413.59049412752574
2025-02-07,409.75,416.5780753340733
2025-02-10,412.2200012207031,411.27809846401215
2025-02-11,411.4400024414063,413.5913638560851
2025-02-12,409.0400085449219,412.1355936663895
2025-02-13,410.5400085449219,409.49602486609365
2025-02-14,408.4299926757813,411.08299987254213
2025-02-18,409.6400146484375,408.5579951346809
2025-02-19,414.7699890136719,409.79779373256315
2025-02-20,416.1300048828125,414.8468751112123
2025-02-21,408.2099914550781,416.03845597219333
2025-02-24,404.0,408.9447453809953
2025-02-25,397.8999938964844,405.34103059768677
2025-02-26,399.7300109863281,399.10105439966355
2025-02-27,392.5299987792969,399.94796908739227
2025-02-28,396.989990234375,394.2233987004547
2025-03-03,388.489990234375,397.6599214436719
2025-03-04,388.6099853515625,390.9384390465857
2025-03-05,401.0199890136719,389.59436483129684
2025-03-06,396.8900146484375,399.89369595752214
2025-03-07,393.30999755859375,396.82614212992485
2025-03-10,380.1600036621094,394.1791740339686
2025-03-11,380.4500122070313,381.96744554353427
2025-03-12,383.2699890136719,380.9450874725881
2025-03-13,378.7699890136719,383.4450248870744
2025-03-14,388.55999755859375,380.1246663582788
2025-03-17,388.7000122070313,388.2667922038381
2025-03-18,383.5199890136719,388.9563002309224
2025-03-19,387.8200073242188,384.66662518077646
2025-03-20,386.8399963378906,388.53336318886437
2025-03-21,391.260009765625,387.10658669696204
2025-03-24,393.0799865722656,391.98104578148923
2025-03-25,395.1600036621094,393.0308082764259
2025-03-26,389.9700012207031,395.1248855849826
2025-03-27,390.5799865722656,390.49629239843125
2025-03-28,378.7999877929688,391.01230325404686
2025-03-31,375.3900146484375,379.92826753795094
2025-04-01,382.1900024414063,375.77383520074363
2025-04-02,382.1400146484375,380.9390678641758
2025-04-03,373.1099853515625,381.3332192028247
2025-04-04,359.8399963378906,373.50281660445035
2025-04-07,357.8599853515625,361.56202421343187
2025-04-08,354.5599975585937,358.5570109248947
2025-04-09,390.489990234375,359.12760647489625
2025-04-10,381.3500061035156,383.96407109904976
2025-04-11,388.4500122070313,381.2485610796666
2025-04-14,387.80999755859375,385.57458835744916
2025-04-15,385.7300109863281,386.9705893843566
2025-04-16,371.6099853515625,386.3693990472275
2025-04-17,367.7799987792969,375.3554964377254
2025-04-21,359.1199951171875,371.69266109836826
2025-04-22,366.8200073242188,363.2077071206295
2025-04-23,374.3900146484375,367.37102829364454
2025-04-24,387.2999877929688,374.7243883597548
2025-04-25,391.8500061035156,386.3967457638756
2025-04-28,391.1600036621094,391.10548432799806
2025-04-29,394.0400085449219,390.85539380026785
2025-04-30,395.260009765625,393.548128372493
2025-05-01,425.3999938964844,395.7771842321381
2025-05-02,435.2799987792969,426.02151564660016
2025-05-05,436.1700134277344,433.84715029641484
2025-05-06,433.30999755859375,434.47649342747354
2025-05-07,433.3500061035156,430.8273494532514
2025-05-08,438.1700134277344,431.70837539506465
2025-05-09,438.7300109863281,437.05011783982627
2025-05-12,449.260009765625,438.2362662948708
2025-05-13,449.1400146484375,449.21518342159106
2025-05-14,452.9400024414063,448.7562547856578
2025-05-15,453.1300048828125,452.3537554649702
2025-05-16,454.2699890136719,452.7255503044653
2025-05-19,458.8699951171875,453.9077582411155
2025-05-20,458.1700134277344,458.07348561300023
2025-05-21,452.5700073242188,457.3721519045648
2025-05-22,454.8599853515625,452.49374822314354
2025-05-23,450.1799926757813,454.962522057569
2025-05-27,460.6900024414063,450.0149708417085
2025-05-28,457.3599853515625,460.76903020304604
2025-05-29,458.6799926757813,457.2027179148499
2025-05-30,460.3599853515625,459.1304375862674
2025-06-02,461.9700012207031,462.25748811406083
2025-06-03,462.9700012207031,461.33346173058635
2025-06-04,463.8699951171875,462.8237468596417
2025-06-05,467.6799926757813,463.91920999236754
2025-06-06,470.3800048828125,468.2999526880449
2025-06-09,472.75,470.2296994205608
2025-06-10,470.9200134277344,472.77524757385254
2025-06-11,472.6199951171875,470.82196834046226
2025-06-12,478.8699951171875,472.67712458074675
2025-06-13,474.9599914550781,478.96578500888427
2025-06-16,479.1400146484375,474.6407415971971
2025-06-17,478.0400085449219,479.0141838249838
2025-06-18,480.239990234375,477.80294341617264
2025-06-20,477.3999938964844,480.1738675607776
2025-06-23,486.0,478.5077001430036
2025-06-24,490.1099853515625,485.190869808197
2025-06-25,492.2699890136719,489.70194052008446
2025-06-26,497.4500122070313,492.03601927206546
2025-06-27,495.9400024414063,497.6384697125905
2025-06-30,497.4100036621094,496.49739198005415
2025-07-01,492.0499877929688,497.2812426301298
2025-07-02,491.0899963378906,492.09726527812023
2025-07-03,498.8399963378906,491.144265225721
2025-07-07,497.7200012207031,498.5316929863675
2025-07-08,496.6199951171875,497.4769738763571
2025-07-09,503.510009765625,496.7531397782586
2025-07-10,501.4800109863281,504.5865835589357
2025-07-11,503.3200073242188,501.4136241016149
2025-07-14,503.0199890136719,503.2595269003651
2025-07-15,505.8200073242188,502.8342484931982
2025-07-16,505.6199951171875,505.98444118022604
2025-07-17,511.7000122070313,505.6303623484564
2025-07-18,510.0499877929688,511.7994412207482
2025-07-21,510.05999755859375,510.29447543631983
2025-07-22,505.2699890136719,509.78954185615294
2025-07-23,505.8699951171875,505.7066171348524
2025-07-24,510.8800048828125,506.4686972274212
2025-07-25,513.7100219726562,511.03907997283386
2025-07-28,512.5,513.8972296163047
2025-07-29,512.5700073242188,512.6322701573372
2025-07-30,513.239990234375,513.3705802245095
2025-07-31,533.5,514.5211005396268
2025-08-01,524.1099853515625,536.7979459762573
2025-08-04,535.6400146484375,525.6947595809033
2025-08-05,527.75,535.3300389705764
2025-08-06,524.9400024414062,528.7001076340675
2025-08-07,520.8400268554688,526.5857340245493
2025-08-08,522.0399780273438,522.9988603274542
2025-08-11,521.77001953125,523.3169167410306
2025-08-12,529.239990234375,523.0425659214961
2025-08-13,520.5800170898438,529.5413096181583
2025-08-14,522.47998046875,521.9143255886374
2025-08-15,520.1699829101562,523.794743288483
2025-08-18,517.0999755859375,521.4053900920771
2025-08-19,509.7699890136719,518.1811342801811
2025-08-20,505.7200012207031,511.33492049659253
2025-08-21,504.239990234375,507.3086113634308
2025-08-22,507.2300109863281,504.9320978221367
2025-08-25,504.260009765625,507.74204155600455
2025-08-26,502.0400085449219,504.69486342795426
2025-08-27,506.739990234375,503.17047425763667
2025-08-28,509.6400146484375,506.8940913337574
2025-08-29,506.6900024414063,509.84651689646125
2025-09-02,505.1199951171875,507.19798456675204
2025-09-03,505.3500061035156,505.2983519346162
2025-09-04,507.9700012207031,505.52079335061353
2025-09-05,495.0,507.9113539521477
2025-09-08,498.2000122070313,495.7331818342209
2025-09-09,498.4100036621094,498.4347217617324
2025-09-10,500.3699951171875,498.75579955831927
2025-09-11,501.010009765625,501.15473409363767
2025-09-12,509.8999938964844,501.66525325979455
2025-09-15,515.3599853515625,510.7059397720186
2025-09-16,509.0400085449219,515.0571687975171
2025-09-17,510.0199890136719,509.58985084503
2025-09-18,508.4500122070313,510.6283450138653
2025-09-19,517.9299926757812,509.179962098242
2025-09-22,514.4500122070312,520.5702069219114
2025-09-23,509.2300109863281,514.0305033554432
2025-09-24,510.1499938964844,509.8674129385181
2025-09-25,507.0299987792969,510.6412543834085
2025-09-26,511.4599914550781,507.49111603029814
2025-09-29,514.5999755859375,511.8011839523533
