Date,actual_price,predicted_price
2024-09-27,187.97000122070312,191.19869776799894
2024-09-30,186.3300018310547,188.0986666377794
2024-10-01,185.1300048828125,186.56078728664215
2024-10-02,184.75999450683597,185.52281486474385
2024-10-03,181.9600067138672,185.18996865901502
2024-10-04,186.50999450683597,182.33609087424338
2024-10-07,180.8000030517578,186.78796052352484
2024-10-08,182.72000122070312,181.04456539566854
2024-10-09,185.1699981689453,182.71690818784555
2024-10-10,186.6499938964844,185.6988466758885
2024-10-11,188.82000732421875,186.7717704077477
2024-10-14,187.5399932861328,189.0216438323987
2024-10-15,187.69000244140625,187.675071315698
2024-10-16,186.88999938964844,187.9348677857779
2024-10-17,187.52999877929688,187.18067381644687
2024-10-18,188.9900054931641,187.7998945325926
2024-10-21,189.07000732421875,189.3958494614308
2024-10-22,189.6999969482422,189.18899018390948
2024-10-23,184.7100067138672,189.8216150502667
2024-10-24,186.3800048828125,184.61323255544812
2024-10-25,187.8300018310547,186.35936414902972
2024-10-28,188.38999938964844,188.18622153987053
2024-10-29,190.8300018310547,188.45445338466743
2024-10-30,192.72999572753903,191.06743010629543
2024-10-31,186.3999938964844,192.86155175632663
2024-11-01,197.92999267578125,186.28551330941266
2024-11-04,195.77999877929688,197.62517945642685
2024-11-05,199.5,195.92761665490616
2024-11-06,207.08999633789065,199.19853615760803
2024-11-07,210.0500030517578,208.06518423978562
2024-11-08,208.17999267578125,210.05954325809034
2024-11-11,206.83999633789065,207.90171977783757
2024-11-12,208.91000366210935,206.83131698623768
2024-11-13,214.1000061035156,209.31200424183768
2024-11-14,211.47999572753903,214.77811897542048
2024-11-15,202.6100006103516,211.3640910052827
2024-11-18,201.6999969482422,202.04338344224473
2024-11-19,204.6100006103516,201.12128157895222
2024-11-20,202.8800048828125,204.87830615123679
2024-11-21,198.3800048828125,203.02501922956435
2024-11-22,197.1199951171875,198.17134023033577
2024-11-25,201.4499969482422,197.25623962064856
2024-11-26,207.8600006103516,201.87001424391565
2024-11-27,205.7400054931641,208.3940342346614
2024-11-29,207.88999938964844,205.66024655129152
2024-12-02,210.7100067138672,207.9155748461926
2024-12-03,213.44000244140625,211.32043869294648
2024-12-04,218.16000366210935,213.74914741869725
2024-12-05,220.5500030517578,218.6250294477322
2024-12-06,227.02999877929688,220.74424546033697
2024-12-09,226.08999633789065,227.38743414805867
2024-12-10,225.0399932861328,226.02741372925087
2024-12-11,230.25999450683597,224.71371162911146
2024-12-12,228.97000122070312,230.71131310816784
2024-12-13,227.4600067138672,229.09924470851183
2024-12-16,232.92999267578125,227.3482372584731
2024-12-17,231.1499938964844,233.3312318794924
2024-12-18,220.5200042724609,231.22888451010297
2024-12-19,223.2899932861328,220.26165862774994
2024-12-20,224.9199981689453,222.89883822782758
2024-12-23,225.05999755859372,225.35798122526285
2024-12-24,229.0500030517578,224.98919518785985
2024-12-26,227.0500030517578,229.182732112984
2024-12-27,223.75,227.37856292570177
2024-12-30,221.3000030517578,223.87768402695656
2024-12-31,219.38999938964844,221.49321761397732
2025-01-02,220.22000122070312,219.64054825236235
