Date,actual_price,predicted_price
2024-09-27,165.2899932861328,164.00372169807997
2024-09-30,167.19000244140625,165.3468396223343
2024-10-01,168.4199981689453,167.2706815159181
2024-10-02,167.30999755859375,168.48408468176785
2024-10-03,167.2100067138672,167.2311154555864
2024-10-04,168.55999755859375,167.16195825085833
2024-10-07,164.38999938964844,168.72571209667512
2024-10-08,165.6999969482422,164.56527330333483
2024-10-09,163.05999755859375,165.86155656278606
2024-10-10,163.17999267578125,163.62635089026298
2024-10-11,164.52000427246094,163.5413241820279
2024-10-14,166.35000610351562,164.877399449093
2024-10-15,166.89999389648438,166.60548199756522
2024-10-16,166.74000549316406,167.24590626882127
2024-10-17,164.50999450683594,166.92331079610085
2024-10-18,165.0500030517578,164.78521695886957
2024-10-21,165.8000030517578,165.27603512228234
2024-10-22,166.82000732421875,166.02482879575655
2024-10-23,164.47999572753906,166.9707270664585
2024-10-24,164.52999877929688,164.61785636543755
2024-10-25,166.99000549316406,164.72103431083087
2024-10-28,168.33999633789062,167.24148759119453
2024-10-29,171.13999938964844,168.60934489141073
2024-10-30,176.13999938964844,171.3251632016254
2024-10-31,172.69000244140625,176.23791084494042
2024-11-01,172.64999389648438,172.32281574862645
2024-11-04,170.67999267578125,172.10737338494255
2024-11-05,171.41000366210938,170.7425179025522
2024-11-06,178.3300018310547,171.5056536468437
2024-11-07,182.27999877929688,178.65336628649857
2024-11-08,179.86000061035156,182.33254063571076
2024-11-11,181.97000122070312,179.56167077440114
2024-11-12,183.32000732421875,181.58011081016775
2024-11-13,180.4900054931641,183.23548911472244
2024-11-14,177.35000610351562,180.323374170358
2024-11-15,173.88999938964844,177.21939225939423
2024-11-18,176.8000030517578,174.20120841989956
2024-11-19,179.5800018310547,176.95520820885577
2024-11-20,177.3300018310547,179.50780468509492
2024-11-21,169.24000549316406,177.4295471881178
2024-11-22,166.57000732421875,169.71189829450668
2024-11-25,169.42999267578125,167.1632260046972
2024-11-26,170.6199951171875,169.6198099936446
2024-11-27,170.82000732421875,170.67539988359204
